City Name,City Name (in Ukrainian),Subdivision,City status,Population (2001 Census),Photo,,,,,
Alchevsk,Алчевськ,Luhansk Oblast,O,"119,193",,,,,,
Pavlohrad,Павлоград,Dnipropetrovsk Oblast,O,"118,816",,,,,,
Uzhhorod,Ужгород,Zakarpattia Oblast,O,"117,317",,,,,,
Lysychansk,Лисичанськ,Luhansk Oblast,O,"115,229",,,,,,
Yevpatoria,Євпаторія,Crimea,O,"105,915",,,,,,
Yenakiieve,Єнакієве,Donetsk Oblast,O,"103,997",,,,,,
Kamianets-Podilskyi,Кам'янець-Подільський,Khmelnytskyi Oblast,O,"99,61",,,,,,
Kostiantynivka,Костянтинівка,Donetsk Oblast,O,"95,111",,,,,,
Krasnyi Luch,Красний Луч,Luhansk Oblast,O,"94,875",,,,,,
Oleksandriia,Олександрія,Kirovohrad Oblast,O,"93,357",,,,,,
Konotop,Конотоп,Sumy Oblast,O,"92,657",,,,,,
Stakhanov,Стаханов,Luhansk Oblast,O,"90,152",,,,,,
Uman,Умань,Cherkasy Oblast,O,"88,735",,,,,,
Berdychiv,Бердичів,Zhytomyr Oblast,O,"87,575",,,,,,
Shostka,Шостка,Sumy Oblast,O,"87,13",,,,,,
Brovary,Бровари,Kiev Oblast,O,"86,839",,,,,,
Izmail,Ізмаїл,Odessa Oblast,O,"84,815",,,,,,
Bakhmut,Бахмут,Donetsk Oblast,O,"82,916",,,,,,
Mukacheve,Мукачеве,Zakarpattia Oblast,O,"82,346",,,,,,
Yalta,Ялта,Crimea,O,"81,654",,,,,,
Drohobych,Дрогобич,Lviv Oblast,O,"79,119",,,,,,
Nizhyn,Ніжин,Chernihiv Oblast,O,"76,625",,,,,,
Feodosiya,Феодосія,Crimea,O,"74,669",,,,,,
Sverdlovsk,Свердловськ,Luhansk Oblast,O,"72,531",,,,,,
Novomoskovsk,Новомосковськ,Dnipropetrovsk Oblast,O,"72,439",,,,,,
Torez,Торез,Donetsk Oblast,O,"72,346",,,,,,
Chervonohrad,Червоноград,Lviv Oblast,O,"70,568",,,,,,
Pervomaisk,Первомайськ,Mykolaiv Oblast,O,"70,17",,,,,,
Smila,Сміла,Cherkasy Oblast,O,"69,681",,,,,,
Pokrovsk,Покровськ,Donetsk Oblast,O,"69,154",,,,,,
Kalush,Калуш,Ivano-Frankivsk Oblast,O,"67,902",,,,,,
Korosten,Коростень,Zhytomyr Oblast,O,"66,669",,,,,,
Kovel,Ковель,Volyn Oblast,O,"66,401",,,,,,
Rubizhne,Рубіжне,Luhansk Oblast,O,"65,322",,,,,,
Pryluky,Прилуки,Chernihiv Oblast,O,"64,861",,,,,,
Druzhkivka,Дружківка,Donetsk Oblast,O,"64,557",,,,,,
Khartsyzk,Харцизьк,Donetsk Oblast,O,"64,175",,,,,,
Lozova,Лозова,Kharkiv Oblast,O,"64,041",,,,,,
Antratsyt,Антрацит,Luhansk Oblast,O,"63,698",,,,,,
Stryi,Стрий,Lviv Oblast,O,"62,479",,,,,,
Kolomyia,Коломия,Ivano-Frankivsk Oblast,O,"61,989",,,,,,
Shakhtarsk,Шахтарськ,Donetsk Oblast,O,"59,589",,,,,,
Snizhne,Сніжне,Donetsk Oblast,O,"58,496",,,,,,
Novohrad-Volynskyi,Новоград-Волинський,Zhytomyr Oblast,O,"56,259",,,,,,
Enerhodar,Енергодар,Zaporizhia Oblast,O,"56,242",,,,,,
Izium,Ізюм,Kharkiv Oblast,O,"56,114",,,,,,
Myrnohrad,Мирноград,Donetsk Oblast,O,"54,787",,,,,,
Brianka,Брянка,Luhansk Oblast,O,"54,767",,,,,,
Chornomorsk,Чорноморськ,Odessa Oblast,O,"54,151",,,,,,
Boryspil,Бориспіль,Kiev Oblast,O,"53,975",,,,,,
Novovolynsk,Нововолинськ,Volyn Oblast,O,"53,838",,,,,,
Rovenky,Ровеньки,Luhansk Oblast,O,"53,725",,,,,,
Zhovti Vody,Жовті Води,Dnipropetrovsk Oblast,O,"53,582",,,,,,
Lubny,Лубни,Poltava Oblast,O,"52,572",,,,,,
Nova Kakhovka,Нова Каховка,Kherson Oblast,O,"52,611",,,,,,
Fastiv,Фастів,Kiev Oblast,O,"51,976",,,,,,
Bilhorod-Dnistrovskyi,Білгород-Дністровський,Odessa Oblast,O,"51,89",,,,,,
Horishni Plavni,Горішні Плавні,Poltava Oblast,O,"51,74",,,,,,
Krasnodon,Краснодон,Luhansk Oblast,O,"50,56",,,,,,
Romny,Ромни,Sumy Oblast,O,"50,448",,,,,,
Okhtyrka,Охтирка,Sumy Oblast,O,"50,399",,,,,,
Svitlovodsk,Світловодськ,Kirovohrad Oblast,O,"50,094",,,,,,
Marhanets,Марганець,Dnipropetrovsk Oblast,O,"49,592",,,,,,
Shepetivka,Шепетівка,Khmelnytskyi Oblast,O,"48,212",,,,,,
Pokrov,Покров,Dnipropetrovsk Oblast,O,"44,834",,,,,,
Toretsk,Торецьк,Donetsk Oblast,O,"43,371",,,,,,
Dzhankoy,Джанкой,Crimea,O,"43,343",|,,,,,
Pervomaisk,Первомайськ,Luhansk Oblast,O,"43,082",,,,,,
Myrhorod,Миргород,Poltava Oblast,O,"42,886",,,,,,
Voznesensk,Вознесенськ,Mykolaiv Oblast,O,"42,634",,,,,,
Podilsk,Подільськ,Odessa Oblast,O,"40,718",,,,,,
Irpin,Ірпінь,Kiev Oblast,O,"40,593",,,,,,
Vasylkiv,Васильків,Kiev Oblast,O,"39,722",,,,,,
Dubno,Дубно,Rivne Oblast,O,"39,146",,,,,,
Varash,Вараш,Rivne Oblast,O,"38,83",,,,,,
Volodymyr-Volynskyi,Володимир-Волинський,Volyn Oblast,O,"38,256",,,,,,
Kakhovka,Каховка,Kherson Oblast,O,"38,238",,,,,,
Yuzhnoukrainsk,Южноукраїнськ,Mykolaiv Oblast,O,"38,206",,,,,,
Boryslav,Борислав,Lviv Oblast,O,"38,122",,,,,,
Yasynuvata,Ясинувата,Donetsk Oblast,O,"37,552",,,,,,
Zhmerynka,Жмеринка,Vinnytsia Oblast,O,"37,349",,,,,,
Avdiivka,Авдіївка,Donetsk Oblast,O,"37,21",,,,,,
Chuhuiv,Чугуїв,Kharkiv Oblast,O,"36,789",,,,,,
Sambir,Самбір,Lviv Oblast,O,"36,556",,,,,,
Tokmak,Токмак,Zaporizhia Oblast,O,"36,275",,,,,,
Boiarka,Боярка,Kiev Oblast,R,"35,968",,,,,,
Hlukhiv,Глухів,Sumy Oblast,O,"35,768",,,,,,
Dobropillia,Добропілля,Donetsk Oblast,O,"35,638",,,,,,
Starokostiantyniv,Старокостянтинів,Khmelnytskyi Oblast,O,"35,206",,,,,,
Kirovsk,Кіровськ,Luhansk Oblast,O,"35,199",,,,,,
Vyshneve,Вишневе,Kiev Oblast,R,"34,465",,,,,,
Netishyn,Нетішин,Khmelnytskyi Oblast,O,"34,358",,,,,,
Slavuta,Славута,Khmelnytskyi Oblast,O,"34,34",,,,,,
Mohyliv-Podilskyi,Могилів-Подільський,Vinnytsia Oblast,O,"32,853",,,,,,
Obukhiv,Обухів,Kiev Oblast,O,"32,776",,,,,,
Pervomaiskyi,Первомайський,Kharkiv Oblast,O,"32,523",,,,,,
Kupiansk,Куп'янськ,Kharkiv Oblast,O,"32,449",,,,,,
Balakliia,Балаклія,Kharkiv Oblast,R,"32,408",,,,,,
Synelnykove,Синельникове,Dnipropetrovsk Oblast,O,"32,302",,,,,,
Pereiaslav-Khmelnytskyi,Переяслав-Хмельницький,Kiev Oblast,O,"31,634",,,,,,
Alushta,Алушта,Crimea,O,"31,44",,,,,,
Truskavets,Трускавець,Lviv Oblast,O,"31,037",,,,,,
Krasnoperekopsk,Красноперекопськ,Crimea,O,"31,023",,,,,,
Kirovske,Кіровське,Donetsk Oblast,O,"30,91",,,,,,
Kostopil,Костопіль,Rivne Oblast,R,"30,467",,,,,,
Debaltseve,Дебальцеве,Donetsk Oblast,O,"30,246",,,,,,
Perevalsk,Перевальськ,Luhansk Oblast,R,"29,665",,,,,,
Saky,Саки,Crimea,O,"29,416",,,,,,
Znamianka,Знам'янка,Kirovohrad Oblast,O,"29,412",,,,,,
Ternivka,Тернівка,Dnipropetrovsk Oblast,O,"29,226",,,,,,
Pershotravensk,Першотравенськ,Dnipropetrovsk Oblast,O,"29,14",,,,,,
Khust,Хуст,Zakarpattia Oblast,O,"29,08",,,,,,
Chortkiv,Чортків,Ternopil Oblast,R,"29,057",,,,,,
Lebedyn,Лебедин,Sumy Oblast,O,"28,948",,,,,,
Zolotonosha,Золотоноша,Cherkasy Oblast,O,"28,793",,,,,,
Bucha,Буча,Kiev Oblast,O,"28,533",,,,,,
Novyi Rozdil,Новий розділ,Lviv Oblast,O,"28,227",,,,,,
Lyman,Лиман,Donetsk Oblast,O,"28,172",,,,,,
Sarny,Сарни,Rivne Oblast,R,"28,144",,,,,,
Malyn,Малин,Zhytomyr Oblast,O,"28,113",,,,,,
Khmilnyk,Хмільник,Vinnytsia Oblast,O,"27,898",,,,,,
Bakhchisaray,Бахчисарай,Crimea,R,"27,549",,,,,,
Selydove,Селидове,Donetsk Oblast,O,"26,793",,,,,,
Berehove,Берегове,Zakarpattia Oblast,O,"26,735",,,,,,
Kaniv,Канів,Cherkasy Oblast,O,"26,657",,,,,,
Koziatyn,Козятин,Vinnytsia Oblast,O,"26,635",,,,,,
Novoiavorivske,Новояворівське,Lviv Oblast,R,"26,483",,,,,,
Korostyshiv,Коростишів,Zhytomyr Oblast,R,"26,068",,,,,,
Popasna,Попасна,Luhansk Oblast,R,"25,951",,,,,,
Vynohradiv,Виноградів,Zakarpattia Oblast,R,"25,76",,,,,,
Haisyn,Гайсин,Vinnytsia Oblast,R,"25,64",,,,,,
Molodohvardiysk,Молодогвардійськ,Luhansk Oblast,R,"25,528",,,,,,
Krolevets,Кролевець,Sumy Oblast,R,"25,183",,,,,,
Merefa,Мерефа,Kharkiv Oblast,R,"25,018",,,,,,
Volnovakha,Волноваха,Donetsk Oblast,R,"24,647",,,,,,
Zdolbuniv,Здолбунів,Rivne Oblast,R,"24,612",,,,,,
Kreminna,Кремінна,Luhansk Oblast,R,"24,447",,,,,,
Slavutych,Славутич,Kiev Oblast,O,"24,402",,,,,,
Dokuchaievsk,Докучаєвськ,Donetsk Oblast,O,"24,383",,,,,,
Liubotyn,Люботин,Kharkiv Oblast,O,"24,173",,,,,,
Oleshky,Олешки,Kherson Oblast,R,"24,123",,,,,,
Yuzhne,Южне,Odessa Oblast,O,"23,977",,,,,,
Armiansk,Армянськ,Crimea,O,"23,869",,,,,,
Vilnohirsk,Вільногірськ,Dnipropetrovsk Oblast,O,"23,782",,,,,,
Yahotyn,Яготин,Kiev Oblast,R,"23,659",,,,,,
Sukhodilsk,Суходільськ,Luhansk Oblast,R,"23,642",,,,,,
Zolochiv,Золочів,Lviv Oblast,R,"23,481",,,,,,
Trostianets,Тростянець,Sumy Oblast,R,"23,308",,,,,,
Brody,Броди,Lviv Oblast,R,"23,239",,,,,,
Polonne,Полонне,Khmelnytskyi Oblast,R,"23,211",,,,,,
Vyshhorod,Вишгород,Kiev Oblast,R,"22,933",,,,,,
Hadiach,Гадяч,Poltava Oblast,R,"22,698",,,,,,
Krasnohrad,Красноград,Kharkiv Oblast,R,"22,67",,,,,,
Kilia,Кілія,Odessa Oblast,R,"22,594",,,,,,
Starobilsk,Старобільськ,Luhansk Oblast,R,"22,371",,,,,,
Ladyzhyn,Ладижин,Vinnytsia Oblast,O,"22,219",,,,,,
Polohy,Пологи,Zaporizhia Oblast,R,"22,206",,,,,,
Amvrosiivka,Амвросіївка,Donetsk Oblast,R,"22,13",,,,,,
Kremenets,Кременець,Ternopil Oblast,R,"22,051",,,,,,
Henichesk,Генічеськ,Kherson Oblast,R,"21,793",,,,,,
Sokal,Сокаль,Lviv Oblast,R,"21,693",,,,,,
Kurakhove,Курахове,Donetsk Oblast,R,"21,479",,,,,,
Dniprorudne,Дніпрорудне,Zaporizhia Oblast,R,"21,054",,,,,,
Volochysk,Волочиськ,Khmelnytskyi Oblast,R,"20,958",,,,,,
Nadvirna,Надвірна,Ivano-Frankivsk Oblast,R,"20,932",,,,,,
Dolyna,Долина,Ivano-Frankivsk Oblast,R,"20,906",,,,,,
Stebnyk,Стебник,Lviv Oblast,R,"20,863",,,,,,
Vovchansk,Вовчанськ,Kharkiv Oblast,R,"20,695",,,,,,
Krasyliv,Красилів,Khmelnytskyi Oblast,R,"20,58",,,,,,
Piatykhatky,П'ятихатки,Dnipropetrovsk Oblast,R,"20,563",,,,,,
Reni,Рені,Odessa Oblast,R,"20,481",,,,,,
Bakhmach,Бахмач,Chernihiv Oblast,R,"20,332",,,,,,
Derhachi,Дергачі,Kharkiv Oblast,R,"20,258",,,,,,
Vatutine,Ватутіне,Cherkasy Oblast,O,"20,156",,,,,,
Kalynivka,Калинівка,Vinnytsia Oblast,R,"20,061",,,,,,
Balta,Балта,Odessa Oblast,R,"19,962",,,,,,
Zvenyhorodka,Звенигородка,Cherkasy Oblast,R,"19,901",,,,,,
Zuhres,Зугрес,Donetsk Oblast,R,"19,859",,,,,,
Skadovsk,Скадовськ,Kherson Oblast,R,"19,641",,,,,,
Svatove,Сватове,Luhansk Oblast,R,"19,495",,,,,,
Shpola,Шпола,Cherkasy Oblast,R,"19,427",,,,,,
Novoukrainka,Новоукраїнка,Kirovohrad Oblast,R,"19,353",,,,,,
Korsun-Shevchenkivskyi,Корсунь-Шевченківський,Cherkasy Oblast,R,"19,311",,,,,,
Lutuhyne,Лутугине,Luhansk Oblast,R,"18,833",,,,,,
Bilohirsk,Білогірськ,Crimea,R,"18,79",,,,,,
Dolynska,Долинська,Kirovohrad Oblast,R,"18,768",,,,,,
Iziaslav,Ізяслав,Khmelnytskyi Oblast,R,"18,444",,,,,,
Bilopillia,Білопілля,Sumy Oblast,R,"18,384",,,,,,
Bohodukhiv,Богодухів,Kharkiv Oblast,R,"18,224",,,,,,
Skvyra,Сквира,Kiev Oblast,R,"18,126",,,,,,
Karlivka,Карлівка,Poltava Oblast,R,"17,995",,,,,,
Orikhiv,Оріхів,Zaporizhia Oblast,R,"17,955",,,,,,
Bilozerske,Білозерське,Donetsk Oblast,R,"17,868",,,,,,
Zolote,Золоте,Luhansk Oblast,R,"17,836",,,,,,
Yunokomunarivsk,Юнокомунарівськ,Donetsk Oblast,R,"17,813",,,,,,
Pidhorodne,Підгородне,Dnipropetrovsk Oblast,R,"17,763",,,,,,
Rozdilna,Роздільна,Odessa Oblast,R,"17,754",,,,,,
Horodok,Городок,Khmelnytskyi Oblast,R,"17,746",,,,,,
Chervonopartyzansk,Червонопартизанськ,Luhansk Oblast,R,"17,68",,,,,,
Ilovaisk,Іловайськ,Donetsk Oblast,R,"17,62",,,,,,
Berezhany,Бережани,Ternopil Oblast,R,"17,617",,,,,,
Novohrodivka,Новогродівка,Donetsk Oblast,O,"17,473",,,,,,
Vuhledar,Вугледар,Donetsk Oblast,R,"17,44",,,,,,
Berezan,Березань,Kiev Oblast,O,"17,367",,,,,,
Putyvl,Путивль,Sumy Oblast,R,"17,354",,,,,,
Bolhrad,Болград,Odessa Oblast,R,"17,353",,,,,,
Bar,Бар,Vinnytsia Oblast,R,"17,284",,,,,,
Svaliava,Свалява,Zakarpattia Oblast,R,"17,145",,,,,,
Bohuslav,Богуслав,Kiev Oblast,R,"17,135",,,,,,
Huliaipole,Гуляйполе,Zaporizhia Oblast,R,"17,077",,,,,,
Zmiiv,Зміїв,Kharkiv Oblast,R,"17,063",,,,,,
Ovruch,Овруч,Zhytomyr Oblast,R,"17,031",,,,,,
Verkhniodniprovsk,Верхньодніпровськ,Dnipropetrovsk Oblast,R,"16,976",,,,,,
Ochakiv,Очаків,Mykolaiv Oblast,O,"16,929",,,,,,
Krasnohorivka,Красногорівка,Donetsk Oblast,R,"16,714",,,,,,
Kivertsi,Ківерці,Volyn Oblast,R,"16,678",,,,,,
Pyriatyn,Пирятин,Poltava Oblast,R,"16,664",,,,,,
Mykolaivka,Миколаївка,Donetsk Oblast,R,"16,62",,,,,,
Chasiv Yar,Часів Яр,Donetsk Oblast,R,"16,612",,,,,,
Vilniansk,Вільнянськ,Zaporizhia Oblast,R,"16,522",,,,,,
Dunaivtsi,Дунаївці,Khmelnytskyi Oblast,R,"16,448",,,,,,
Apostolove,Апостолове,Dnipropetrovsk Oblast,R,"16,439",,,,,,
Talne,Тальне,Cherkasy Oblast,R,"16,388",,,,,,
Artsyz,Арциз,Odessa Oblast,R,"16,37",,,,,,
Novyi Buh,Новий Буг,Mykolaiv Oblast,R,"16,25",,,,,,
Tulchyn,Тульчин,Vinnytsia Oblast,R,"16,136",,,,,,
Haivoron,Гайворон,Kirovohrad Oblast,R,"16,126",,,,,,
Horodok,Городок,Lviv Oblast,R,"16,082",,,,,,
Hola Prystan,Гола Пристань,Kherson Oblast,R,"16,028",,,,,,
Nosivka,Носівка,Chernihiv Oblast,R,"15,966",,,,,,
Zhashkiv,Жашків,Cherkasy Oblast,R,"15,853",,,,,,
Horodysche,Городище,Cherkasy Oblast,R,"15,645",,,,,,
Vasylivka,Василівка,Zaporizhia Oblast,R,"15,592",,,,,,
Kamianka-Dniprovska,Кам'янка-Дніпровська,Zaporizhia Oblast,R,"15,522",,,,,,
Petrovske,Петровське,Luhansk Oblast,R,"15,478",,,,,,
Beryslav,Берислав,Kherson Oblast,R,"15,455",,,,,,
Snihurivka,Снігурівка,Mykolaiv Oblast,R,"15,447",,,,,,
Radomyshl,Радомишль,Zhytomyr Oblast,R,"15,326",,,,,,
Burshtyn,Бурштин,Ivano-Frankivsk Oblast,R,"15,298",,,,,,
Rakhiv,Рахів,Zakarpattia Oblast,R,"15,241",,,,,,
Novhorod-Siverskyi,Новгород-Сіверський,Chernihiv Oblast,R,"15,175",,,,,,
Kamianka,Кам'янка,Cherkasy Oblast,R,"15,109",,,,,,
Tetiiv,Тетіїв,Kiev Oblast,R,"14,944",,,,,,
Mykolaiv,Миколаїв,Lviv Oblast,R,"14,801",,,,,,
Ostroh,Острог,Rivne Oblast,O,"14,801",,,,,,
Zelenodolsk,Зеленодольськ,Dnipropetrovsk Oblast,R,"14,792",,,,,,
Vakhrusheve,Вахрушеве,Luhansk Oblast,R,"14,773",,,,,,
Khorol,Хорол,Poltava Oblast,R,"14,753",,,,,,
Storozhynets,Сторожинець,Chernivtsi Oblast,R,"14,693",,,,,,
Sudak,Судак,Crimea,O,"14,495",,,,,,
Siversk,Сіверськ,Donetsk Oblast,R,"14,393",,,,,,
Koriukivka,Корюківка,Chernihiv Oblast,R,"14,318",,,,,,
Biliaivka,Біляївка,Odessa Oblast,R,"14,294",,,,,,
Hirnyk,Гірник,Donetsk Oblast,R,"14,207",,,,,,
Ukrainka,Українка,Kiev Oblast,R,"14,163",,,,,,
Nova Odesa,Нова Одеса,Mykolaiv Oblast,R,"14,07",,,,,,
Horodnia,Городня,Chernihiv Oblast,R,"14,043",,,,,,
Schastia,Щастя,Luhansk Oblast,R,"13,77",,,,,,
Kaharlyk,Кагарлик,Kiev Oblast,R,"13,757",,,,,,
Zhdanivka,Жданівка,Donetsk Oblast,O,"13,688",,,,,,
Berezne,Березне,Rivne Oblast,R,"13,669",,,,,,
Terebovlia,Теребовля,Ternopil Oblast,R,"13,661",,,,,,
Vynnyky,Винники,Lviv Oblast,R,"13,654",,,,,,
Rozhysche,Рожище,Volyn Oblast,R,"13,636",,,,,,
Yavoriv,Яворів,Lviv Oblast,R,"13,51",,,,,,
Zhovkva,Жовква,Lviv Oblast,R,"13,474",,,,,,
Tarascha,Тараща,Kiev Oblast,R,"13,452",,,,,,
Myronivka,Миронівка,Kiev Oblast,R,"13,368",,,,,,
Bershad,Бершадь,Vinnytsia Oblast,R,"13,336",,,,,,
Ukrainsk,Українськ,Donetsk Oblast,R,"13,236",,,,,,
Zbarazh,Збараж,Ternopil Oblast,R,"13,228",,,,,,
Novomyrhorod,Новомиргород,Kirovohrad Oblast,R,"13,22",,,,,,
Uzyn,Узин,Kiev Oblast,R,"13,217",,,,,,
Svitlodarsk,Світлодарськ,Donetsk Oblast,R,"13,184",,,,,,
Soledar,Соледар,Donetsk Oblast,R,"13,151",,,,,,
Bashtanka,Баштанка,Mykolaiv Oblast,R,"13,146",,,,,,
Mala Vyska,Мала Виска,Kirovohrad Oblast,R,"13,132",,,,,,
Teplohirsk,Теплогірськ,Luhansk Oblast,R,"13,053",,,,,,
Barvinkove,Барвінкове,Kharkiv Oblast,R,"12,998",,,,,,
Prymorsk,Приморськ,Zaporizhia Oblast,R,"12,973",,,,,,
Mena,Мена,Chernihiv Oblast,R,"12,94",,,,,,
Hlobyne,Глобине,Poltava Oblast,R,"12,902",,,,,,
Hnivan,Гнівань,Vinnytsia Oblast,R,"12,832",,,,,,
Komsomolske,Комсомольське,Donetsk Oblast,R,"12,813",,,,,,
Ichnia,Ічня,Chernihiv Oblast,R,"12,78",,,,,,
Novoazovsk,Новоазовськ,Donetsk Oblast,R,"12,702",,,,,,
Baranivka,Баранівка,Zhytomyr Oblast,R,"12,584",,,,,,
Buchach,Бучач,Ternopil Oblast,R,"12,549",,,,,,
Lokhvytsia,Лохвиця,Poltava Oblast,R,"12,389",,,,,,
Snovsk,Сновськ,Chernihiv Oblast,R,"12,315",,,,,,
Bobrynets,Бобринець,Kirovohrad Oblast,R,"12,3",,,,,,
Nemyriv,Немирів,Vinnytsia Oblast,R,"12,082",,,,,,
Kobeliaky,Кобеляки,Poltava Oblast,R,"12,076",,,,,,
Rodynske,Родинське,Donetsk Oblast,R,"11,996",,,,,,
Chyhyryn,Чигирин,Cherkasy Oblast,R,"11,96",,,,,,
Bobrovytsia,Бобровиця,Chernihiv Oblast,R,"11,916",,,,,,
Sosnivka,Соснівка,Lviv Oblast,R,"11,889",,,,,,
Zhydachiv,Жидачів,Lviv Oblast,R,"11,798",,,,,,
Yampil,Ямпіль,Vinnytsia Oblast,R,"11,787",,,,,,
Mospyne,Моспине,Donetsk Oblast,R,"11,736",,,,,,
Borzna,Борзна,Chernihiv Oblast,R,"11,707",,,,,,
Shcholkine,Щолкіне,Crimea,R,"11,699",,,,,,
Buryn,Буринь,Sumy Oblast,R,"11,678",,,,,,
Kamianka-Buzka,Кам'янка-Бузька,Lviv Oblast,R,"11,674",,,,,,
Hrebinka,Гребінка,Poltava Oblast,R,"11,662",,,,,,
Khrystynivka,Христинівка,Cherkasy Oblast,R,"11,65",,,,,,
Hirske,Гірське,Luhansk Oblast,R,"11,473",,,,,,
Tavriysk,Таврійськ,Kherson Oblast,R,"11,452",,,,,,
Borschiv,Борщів,Ternopil Oblast,R,"11,382",,,,,,
Zymohiria,Зимогір'я,Luhansk Oblast,R,"11,295",,,,,,
Khotyn,Хотин,Chernivtsi Oblast,R,"11,216",,,,,,
Illintsi,Іллінці,Vinnytsia Oblast,R,"11,186",,,,,,
Pomichna,Помічна,Kirovohrad Oblast,R,"10,946",,,,,,
Olevsk,Олевськ,Zhytomyr Oblast,R,"10,896",,,,,,
Kamin-Kashyrskyi,Камінь-Каширський,Volyn Oblast,R,"10,818",,,,,,
Tatarbunary,Татарбунари,Odessa Oblast,R,"10,797",,,,,,
Pohrebysche,Погребище,Vinnytsia Oblast,R,"10,754",,,,,,
Maryinka,Мар'їнка,Donetsk Oblast,R,"10,722",,,,,,
Bolekhiv,Болехів,Ivano-Frankivsk Oblast,O,"10,633",,,,,,
Inkerman,Інкерман,Sevastopol,R,"10,628",,,,,,
Zinkiv,Зіньків,Poltava Oblast,R,"10,577",,,,,,
Khodoriv,Ходорів,Lviv Oblast,R,"10,565",,,,,,
Sniatyn,Снятин,Ivano-Frankivsk Oblast,R,"10,479",,,,,,
Derazhnia,Деражня,Khmelnytskyi Oblast,R,"10,446",,,,,,
Liuboml,Любомль,Volyn Oblast,R,"10,395",,,,,,
Valky,Валки,Kharkiv Oblast,R,"10,381",,,,,,
Novodnistrovsk,Новодністровськ,Chernivtsi Oblast,O,"10,342",,,,,,
Radyvyliv,Радивилів,Rivne Oblast,R,"10,311",,,,,,
Vuhlehirsk,Вуглегірськ,Donetsk Oblast,O,"10,309",,,,,,
Sokyriany,Сокиряни,Chernivtsi Oblast,R,"10,258",,,,,,
Verkhivtseve,Верхівцеве,Dnipropetrovsk Oblast,R,"10,142",,,,,,
Zalischyky,Заліщики,Ternopil Oblast,R,"10,125",,,,,,
Staryi Krym,Старий Крим,Crimea,R,"10,101",,,,,,
Bilytske,Білицьке,Donetsk Oblast,R,"10,093",,,,,,
